#	DATOS	LANGOSTINO	COLORADO	III	-	IV	REGIONES	SEXO	COMBINADO	2017																									
#	numero	de	años																																
64																																			
#	número	de	edades																																
6																																			
#	edad	inicial																																	
1																																			
#	delta	edad																																	
1																																			
#	numero	de	tallas																																
36																																			
#	indices	de	abundancia	y	captura																														
#Año	Crucero	cv	CPUE	cv	Desemb	cv																											
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0.00051	0.00051	0	0	0	0	0.00108	0.00568	0.01952	0.04491	0.06985	0.06517	0.08659	0.10357	0.1088	0.12135	0.12142	0.09958	0.07922	0.04351	0.01397	0.00686	0.00534	0.00127	0.00127	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0.0017	0.00058	0.00058	0.00628	0.01428	0.03192	0.05985	0.09567	0.11555	0.12026	0.10401	0.09933	0.11371	0.09725	0.06376	0.02814	0.02642	0.01208	0.00403	0.0023	0.00173	0	0.00058	0	0	0	0	0	0	0	0
0	0.00018	0.00009	0.00006	0.00058	0.00139	0.00168	0.00517	0.01155	0.02317	0.04132	0.07539	0.1122	0.13441	0.15105	0.13969	0.10663	0.0687	0.04604	0.03478	0.02095	0.01408	0.00543	0.00246	0.00132	0.00117	0.00029	0.00017	0.00006	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0.00031	0	0.00199	0.00297	0.00845	0.01832	0.01957	0.0315	0.05638	0.08561	0.14001	0.15874	0.15586	0.12341	0.0773	0.04868	0.02829	0.01766	0.01005	0.00767	0.00415	0.00188	0.00062	0.00052	0.00005	0	0	0	0	0	0	0	0	0
0.00003	0.00021	0.00065	0.00139	0.00383	0.00584	0.01233	0.02137	0.03333	0.04954	0.06559	0.09054	0.12077	0.14168	0.13503	0.10815	0.08216	0.05472	0.0347	0.02002	0.01039	0.00517	0.00184	0.00048	0.00019	0	0	0.00007	0	0	0	0	0	0	0	0
0	0	0.00006	0.00029	0.00055	0.00151	0.0044	0.00852	0.01691	0.03086	0.05988	0.09601	0.12042	0.14572	0.14685	0.11605	0.08874	0.06325	0.04114	0.02666	0.01574	0.00861	0.00493	0.00181	0.00048	0.00028	0.00012	0.00006	0.00013	0.00001	0	0	0	0	0	0
0	0	0	0	0.00032	0.00107	0.00322	0.00562	0.0108	0.02292	0.04597	0.07934	0.12091	0.15952	0.16874	0.14008	0.09054	0.06261	0.03829	0.02811	0.01257	0.00606	0.00294	0.00019	0.00017	0	0	0	0	0	0	0	0	0	0	0
0.00003	0.00002	0.0004	0.00083	0.00155	0.00245	0.00496	0.00763	0.01549	0.0223	0.04329	0.05013	0.08912	0.08697	0.1414	0.10845	0.13467	0.08415	0.08953	0.0462	0.03812	0.01487	0.01099	0.00318	0.0022	0.00052	0.00037	0.00017	0	0	0	0	0	0	0	0
0	0	0	0	0.0001	0.00023	0.00021	0.00074	0.00381	0.00969	0.02905	0.05525	0.09827	0.11748	0.1685	0.1518	0.1451	0.09397	0.06543	0.03196	0.0182	0.00567	0.00313	0.00085	0.00045	0.00005	0.00006	0	0	0	0	0	0	0	0	0
0	0	0	0	0.00002	0.00017	0.00075	0.00423	0.01398	0.02918	0.05576	0.07335	0.10282	0.10015	0.12853	0.11011	0.11911	0.08722	0.07996	0.04861	0.03342	0.01018	0.00213	0.00028	0.00003	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0.00017	0.00182	0.00395	0.01279	0.02365	0.04499	0.0618	0.0995	0.11135	0.15739	0.13386	0.13265	0.0882	0.06625	0.03122	0.02055	0.00574	0.00203	0.00113	0.00073	0.00014	0.00009	0	0	0	0	0	0	0	0	0
0	0	0	0.00001	0.0007	0.00115	0.00286	0.00634	0.01379	0.02372	0.05153	0.06382	0.09978	0.09487	0.12466	0.1096	0.12235	0.09044	0.08198	0.04997	0.03463	0.01471	0.00887	0.00298	0.00106	0.00019	0.00001	0	0	0	0	0	0	0	0	0
0	0	0.00002	0.00002	0.00021	0.00118	0.00529	0.01199	0.0247	0.03933	0.06422	0.07307	0.11073	0.10468	0.13214	0.0993	0.10012	0.06454	0.05819	0.03776	0.03448	0.01798	0.01275	0.00531	0.00167	0.0003	0.00002	0	0	0	0	0	0	0	0	0
0	0	0	0.00003	0.00012	0.00047	0.00279	0.00483	0.01341	0.01946	0.04597	0.07342	0.12923	0.13611	0.16208	0.1157	0.09933	0.05812	0.05434	0.03257	0.02729	0.01134	0.00743	0.00365	0.00152	0.00052	0.00018	0.00005	0.00002	0	0	0	0	0	0	0
0.00009	0.00027	0.00016	0.00046	0.00063	0.0024	0.00664	0.01071	0.01873	0.03172	0.05142	0.07724	0.11487	0.14286	0.15813	0.13229	0.09715	0.06216	0.03874	0.02565	0.01489	0.00732	0.00317	0.0012	0.00033	0.00031	0.00013	0.00008	0.00011	0.00003	0.00006	0	0	0	0	0
0.00012	0.00021	0.00007	0.00031	0.00081	0.00129	0.0033	0.00947	0.01756	0.03121	0.04985	0.07224	0.09948	0.1194	0.12374	0.12677	0.10985	0.09064	0.062	0.03855	0.02242	0.01016	0.00562	0.00245	0.00134	0.00073	0.00022	0	0.00008	0.00004	0.00004	0	0	0	0	0
0.00026	0.00041	0.00024	0.0004	0.00084	0.00185	0.00273	0.00471	0.00771	0.01437	0.02747	0.04244	0.07126	0.10735	0.14074	0.13595	0.12747	0.10636	0.089	0.05658	0.03413	0.01527	0.00796	0.00279	0.00135	0.00017	0.00001	0.00001	0	0	0	0	0	0	0	0
0.00044	0.00064	0.00061	0.00055	0.00042	0.00098	0.0016	0.00259	0.00628	0.01423	0.03151	0.06381	0.08979	0.11408	0.14113	0.1379	0.12751	0.10081	0.07849	0.04378	0.02403	0.01148	0.00457	0.00138	0.00065	0.00033	0.00011	0	0.00011	0	0	0	0	0	0	0
0.00051	0.00061	0.00056	0.00044	0.00025	0.00046	0.0006	0.00308	0.00437	0.01152	0.01709	0.03079	0.05758	0.08237	0.12317	0.1487	0.1567	0.13413	0.09883	0.0654	0.03583	0.01551	0.00681	0.0031	0.00112	0.00004	0	0	0	0	0	0	0	0	0	0
0.00024	0	0	0	0.0001	0.00032	0.00075	0.00314	0.00614	0.01229	0.02221	0.03771	0.06165	0.08738	0.11859	0.15151	0.15666	0.12804	0.09329	0.06255	0.03526	0.0148	0.00478	0.00131	0.00039	0.00015	0	0	0	0	0	0	0	0	0	0
0.0002	0.00034	0.00023	0.00019	0.00009	0.00041	0.00191	0.0032	0.00535	0.00712	0.02102	0.03238	0.0578	0.08539	0.12266	0.13724	0.14492	0.11686	0.09285	0.07266	0.04832	0.02894	0.0136	0.00478	0.0014	0.00008	0	0	0	0	0	0	0	0	0	0
0	0	0.00005	0	0.00038	0.00067	0.00183	0.00392	0.00551	0.01101	0.02007	0.03201	0.04983	0.07884	0.11494	0.1425	0.14209	0.12814	0.10716	0.07579	0.04406	0.0229	0.01178	0.00432	0.00139	0.00029	0.00012	0.00021	0.00009	0.00009	0	0	0	0	0	0
0	0	0	0	0.00005	0.00025	0.0008	0.00225	0.00543	0.01277	0.02492	0.03801	0.06369	0.07513	0.10998	0.11914	0.13008	0.11965	0.10954	0.08106	0.05318	0.02958	0.01316	0.00593	0.00267	0.00074	0.0003	0.00013	0.00023	0.00027	0.00007	0.00007	0.00023	0.00049	0.0001	0.0001
0	0	0	0.00016	0	0.00029	0.00097	0.00362	0.00792	0.01491	0.03069	0.04847	0.07854	0.1153	0.12097	0.13188	0.12303	0.11563	0.08278	0.06548	0.03405	0.01647	0.00634	0.00159	0.00073	0.0002	0	0	0	0	0	0	0	0	0	0
0	0	0.00018	0	0	0	0	0.00075	0.00139	0.00332	0.00907	0.02881	0.05095	0.0832	0.10084	0.13114	0.14027	0.12486	0.11699	0.07937	0.06293	0.03388	0.0185	0.00888	0.0044	0.00025	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0.00346	0.00271	0.01121	0.03456	0.06207	0.09701	0.10355	0.13347	0.18317	0.17865	0.12589	0.04225	0.01781	0.00271	0.00095	0.00047	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0.00152	0.00717	0.00772	0.02585	0.03106	0.10341	0.1089	0.10905	0.16282	0.13766	0.1578	0.10101	0.03556	0.00978	0.00068	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.00011	0.0001	0.00032	0.00034	0.0015	0.0033	0.00959	0.02154	0.04668	0.0777	0.09619	0.13528	0.16365	0.15356	0.12965	0.0839	0.04143	0.02025	0.00957	0.00294	0.00162	0.00037	0.00039	0.00003	0	0	0	0	0	0	0	0
